normalized_name,canonical_name
sp gijon,Sp Gijon
sp lisbon,Sp Lisbon
spal,Spal
sparta rotterdam,Sparta Rotterdam
spezia,Spezia
sport recife,Sport Recife
sport-club freiburg,Sport-Club Freiburg
sporting charleroi,Sporting Charleroi
sporting cp,Sporting Cp
ss lazio,Ss Lazio
ssc napoli,Ssc Napoli
st etienne,St Etienne
st johnstone,St Johnstone
st mirren,St Mirren
st pauli,St Pauli
st truiden,St Truiden
st. gilloise,St. Gilloise
st. mirren fc,St. Mirren Fc
stade brestois 29,Stade Brestois 29
stade rennais fc,Stade Rennais Fc
standard,Standard
standard liege,Standard Liege
stoke,Stoke
stoke city,Stoke City
strasbourg,Strasbourg
stuttgart,Stuttgart
sunderland,Sunderland
sunderland afc,Sunderland Afc
sv werder bremen,Sv Werder Bremen
sv zulte waregem,SV Zulte Waregem
swansea city,Swansea City
talleres cordoba,Talleres Cordoba
telstar,Telstar
tigre,Tigre
tondela,Tondela
torino,Torino
tottenham hotspur,Tottenham Hotspur
tottenham hotspur fc,Tottenham Hotspur Fc
toulouse,Toulouse
toulouse fc,Toulouse Fc
trabzonspor,Trabzonspor
troyes,Troyes
tsg 1899 hoffenheim,Tsg 1899 Hoffenheim
twente,Twente
udinese,Udinese
udinese calcio,Udinese Calcio
umraniyespor,Umraniyespor
uniao madeira,Uniao Madeira
union berlin,Union Berlin
union saint-gilloise,Union Saint-Gilloise
union santa fe,Union Santa Fe
us lecce,Us Lecce
us sassuolo calcio,Us Sassuolo Calcio
utrecht,Utrecht
uts rabat,Uts Rabat
valencia,Valencia
valencia cf,Valencia Cf
valladolid,Valladolid
vallecano,Vallecano
vasco da gama,Vasco Da Gama
velez sarsfield,Velez Sarsfield
venezia,Venezia
verona,Verona
vfb stuttgart,Vfb Stuttgart
vfl wolfsburg,Vfl Wolfsburg
villarreal,Villarreal
villarreal cf,Villarreal Cf
vitesse,Vitesse
vitoria sc,Vitória Sc
vizela,Vizela
volendam,Volendam
vvv venlo,Vvv Venlo
waalwijk,Waalwijk
waasland-beveren,Waasland-Beveren
waregem,Waregem
watford,Watford
werder bremen,Werder Bremen
west bromwich albion,West Bromwich Albion
west bromwich albion fc,West Bromwich Albion Fc
west ham,West Ham
west ham united fc,West Ham United Fc
westerlo,Westerlo
wigan,Wigan
willem ii,Willem Ii
wolfsburg,Wolfsburg
wolverhampton wanderers,Wolverhampton Wanderers
wolverhampton wanderers fc,Wolverhampton Wanderers Fc
wrexham,Wrexham
wrexham afc,Wrexham Afc
wycombe,Wycombe
wydad ac,Wydad Ac
yeni malatyaspor,Yeni Malatyaspor
youssoufia berrechid,Youssoufia Berrechid
zamalek sc,Zamalek Sc
zwolle,Zwolle
